DiaDaSemana,Região,TurnoDoDia,Crime,Arma,IncidênciaDeFavelas,Ilumicacao,PericiaInvestigacao
FinalDeSemana,Oeste,Manhã,Homicídio,ArmaBranca,Alta,FALSE,não
Útil,Norte,Tarde,Roubo,Agressão,Média,FALSE,não
Útil,Oeste,Noite,Estupro,ArmaDeFogo,Alta,TRUE,não
Útil,Centro,Tarde,Estupro,ArmaDeFogo,Média,TRUE,não
FinalDeSemana,Sul,Tarde,Agressão,Agressão,Alta,FALSE,sim
FinalDeSemana,Oeste,Tarde,Assalto,ArmaBranca,Baixa,TRUE,não
FinalDeSemana,Leste,Tarde,Agressão,ArmaDeFogo,Baixa,FALSE,sim
FinalDeSemana,Norte,Madrugada,TráficoDeDrogas,ArmaBranca,Baixa,TRUE,sim
Útil,Oeste,Madrugada,Roubo,Agressão,Alta,TRUE,sim
FinalDeSemana,Leste,Madrugada,Assalto,ArmaBranca,Baixa,TRUE,não
FinalDeSemana,Norte,Tarde,Assalto,Agressão,Baixa,TRUE,sim
FinalDeSemana,Sul,Tarde,Assalto,ArmaDeFogo,Alta,FALSE,sim
Útil,Leste,Manhã,Homicídio,ArmaDeFogo,Média,TRUE,não
FinalDeSemana,Sul,Tarde,Estupro,Agressão,Média,TRUE,sim
Útil,Oeste,Manhã,Estupro,ArmaBranca,Alta,TRUE,sim
Útil,Norte,Noite,Assalto,ArmaDeFogo,Alta,FALSE,sim
FinalDeSemana,Centro,Madrugada,Estupro,ArmaDeFogo,Média,FALSE,sim
FinalDeSemana,Norte,Manhã,TráficoDeDrogas,Agressão,Baixa,FALSE,sim
FinalDeSemana,Oeste,Manhã,Agressão,ArmaDeFogo,Média,FALSE,não
Útil,Sul,Manhã,Homicídio,Agressão,Baixa,FALSE,sim
Útil,Norte,Noite,Homicídio,ArmaBranca,Média,FALSE,não
FinalDeSemana,Oeste,Noite,Roubo,ArmaBranca,Média,TRUE,não
FinalDeSemana,Centro,Manhã,Homicídio,Agressão,Baixa,TRUE,sim
Útil,Centro,Tarde,Roubo,ArmaBranca,Média,TRUE,sim
Útil,Norte,Manhã,Assalto,ArmaDeFogo,Alta,TRUE,sim
FinalDeSemana,Sul,Madrugada,Homicídio,ArmaDeFogo,Média,FALSE,sim
FinalDeSemana,Norte,Tarde,Agressão,ArmaDeFogo,Média,FALSE,não
FinalDeSemana,Sul,Manhã,Estupro,Agressão,Alta,FALSE,não
FinalDeSemana,Sul,Manhã,Assalto,ArmaDeFogo,Baixa,FALSE,não
Útil,Norte,Noite,Agressão,ArmaBranca,Média,FALSE,não
Útil,Norte,Manhã,Estupro,ArmaDeFogo,Média,TRUE,não
Útil,Leste,Noite,Roubo,ArmaBranca,Alta,FALSE,não
FinalDeSemana,Centro,Manhã,Roubo,ArmaDeFogo,Baixa,FALSE,sim
FinalDeSemana,Centro,Manhã,Assalto,ArmaBranca,Baixa,FALSE,não
Útil,Oeste,Tarde,Homicídio,Agressão,Baixa,TRUE,sim
FinalDeSemana,Centro,Madrugada,Estupro,ArmaBranca,Média,TRUE,sim
Útil,Leste,Tarde,Homicídio,ArmaDeFogo,Alta,FALSE,sim
FinalDeSemana,Oeste,Noite,Homicídio,ArmaBranca,Alta,FALSE,não
Útil,Sul,Tarde,Assalto,ArmaDeFogo,Média,FALSE,não
Útil,Norte,Manhã,Homicídio,ArmaDeFogo,Média,TRUE,sim
Útil,Oeste,Noite,Roubo,Agressão,Média,FALSE,não
Útil,Norte,Manhã,Estupro,ArmaDeFogo,Média,TRUE,sim
FinalDeSemana,Centro,Manhã,Estupro,Agressão,Média,TRUE,não
Útil,Oeste,Manhã,Assalto,ArmaDeFogo,Baixa,TRUE,não
Útil,Leste,Manhã,TráficoDeDrogas,ArmaDeFogo,Média,TRUE,não
FinalDeSemana,Norte,Manhã,Roubo,ArmaDeFogo,Média,FALSE,sim
FinalDeSemana,Norte,Tarde,TráficoDeDrogas,Agressão,Alta,FALSE,sim
Útil,Sul,Tarde,Roubo,ArmaDeFogo,Alta,TRUE,sim
FinalDeSemana,Leste,Madrugada,Homicídio,Agressão,Média,FALSE,não
Útil,Oeste,Tarde,Homicídio,Agressão,Alta,FALSE,não
Útil,Norte,Manhã,Roubo,ArmaDeFogo,Média,FALSE,não
Útil,Leste,Manhã,TráficoDeDrogas,ArmaBranca,Média,FALSE,sim
Útil,Norte,Madrugada,Homicídio,Agressão,Baixa,TRUE,não
FinalDeSemana,Centro,Tarde,TráficoDeDrogas,Agressão,Baixa,FALSE,sim
Útil,Centro,Noite,TráficoDeDrogas,ArmaDeFogo,Alta,TRUE,não
Útil,Norte,Noite,TráficoDeDrogas,ArmaDeFogo,Alta,TRUE,sim
FinalDeSemana,Norte,Manhã,Assalto,ArmaBranca,Baixa,FALSE,não
Útil,Leste,Tarde,Estupro,ArmaDeFogo,Baixa,TRUE,não
Útil,Centro,Manhã,Assalto,Agressão,Alta,TRUE,sim
Útil,Leste,Tarde,Estupro,Agressão,Baixa,FALSE,sim
FinalDeSemana,Norte,Tarde,Roubo,ArmaDeFogo,Média,FALSE,não
FinalDeSemana,Sul,Madrugada,Roubo,Agressão,Alta,FALSE,sim
Útil,Norte,Noite,Estupro,Agressão,Alta,FALSE,sim
FinalDeSemana,Oeste,Manhã,Agressão,ArmaBranca,Média,TRUE,não
FinalDeSemana,Oeste,Madrugada,Homicídio,ArmaBranca,Alta,TRUE,não
Útil,Sul,Madrugada,Roubo,Agressão,Baixa,TRUE,sim
Útil,Leste,Manhã,Assalto,Agressão,Alta,FALSE,não
FinalDeSemana,Oeste,Manhã,Agressão,ArmaDeFogo,Baixa,FALSE,não
Útil,Oeste,Madrugada,Estupro,Agressão,Alta,FALSE,não
FinalDeSemana,Norte,Manhã,Homicídio,Agressão,Baixa,FALSE,sim
Útil,Norte,Tarde,Roubo,ArmaBranca,Alta,FALSE,sim
FinalDeSemana,Oeste,Manhã,Assalto,ArmaBranca,Alta,FALSE,sim
Útil,Sul,Tarde,Agressão,ArmaBranca,Baixa,TRUE,sim
FinalDeSemana,Norte,Tarde,Roubo,Agressão,Alta,FALSE,não
FinalDeSemana,Leste,Tarde,Assalto,ArmaDeFogo,Baixa,TRUE,sim
FinalDeSemana,Leste,Tarde,Estupro,ArmaBranca,Média,TRUE,não
Útil,Centro,Manhã,Agressão,ArmaBranca,Baixa,TRUE,sim
Útil,Leste,Madrugada,Roubo,Agressão,Média,FALSE,sim
Útil,Norte,Tarde,Roubo,ArmaBranca,Média,FALSE,sim
Útil,Leste,Noite,TráficoDeDrogas,Agressão,Alta,FALSE,não
Útil,Oeste,Manhã,Estupro,ArmaBranca,Média,TRUE,não
Útil,Norte,Noite,Assalto,ArmaDeFogo,Baixa,TRUE,sim
FinalDeSemana,Norte,Manhã,Homicídio,Agressão,Alta,TRUE,não
Útil,Oeste,Noite,Homicídio,Agressão,Média,FALSE,não
FinalDeSemana,Sul,Tarde,Estupro,Agressão,Baixa,FALSE,não
FinalDeSemana,Centro,Tarde,Assalto,Agressão,Baixa,FALSE,sim
Útil,Oeste,Tarde,Roubo,ArmaDeFogo,Alta,TRUE,sim
FinalDeSemana,Norte,Madrugada,Homicídio,ArmaDeFogo,Alta,TRUE,não
Útil,Oeste,Manhã,TráficoDeDrogas,ArmaDeFogo,Baixa,TRUE,não
Útil,Leste,Manhã,Assalto,ArmaDeFogo,Alta,FALSE,sim
FinalDeSemana,Leste,Noite,TráficoDeDrogas,ArmaBranca,Média,TRUE,não
FinalDeSemana,Sul,Noite,TráficoDeDrogas,Agressão,Baixa,TRUE,sim
Útil,Norte,Manhã,Homicídio,ArmaDeFogo,Média,TRUE,sim
Útil,Norte,Tarde,Estupro,Agressão,Alta,FALSE,não
FinalDeSemana,Oeste,Tarde,Agressão,Agressão,Alta,FALSE,sim
Útil,Leste,Noite,Agressão,ArmaDeFogo,Alta,TRUE,não
Útil,Norte,Tarde,Estupro,Agressão,Alta,TRUE,não
FinalDeSemana,Sul,Madrugada,Agressão,ArmaDeFogo,Média,TRUE,sim
Útil,Norte,Manhã,Agressão,ArmaDeFogo,Baixa,FALSE,não
Útil,Norte,Tarde,Agressão,Agressão,Alta,TRUE,não
Útil,Norte,Madrugada,Agressão,ArmaBranca,Baixa,TRUE,não
FinalDeSemana,Norte,Manhã,Estupro,ArmaDeFogo,Alta,FALSE,não
Útil,Norte,Madrugada,Assalto,ArmaBranca,Alta,FALSE,sim
Útil,Leste,Noite,Agressão,ArmaDeFogo,Baixa,FALSE,sim
Útil,Oeste,Madrugada,Roubo,Agressão,Média,TRUE,não
FinalDeSemana,Oeste,Manhã,TráficoDeDrogas,ArmaDeFogo,Baixa,FALSE,sim
Útil,Leste,Noite,TráficoDeDrogas,Agressão,Alta,TRUE,sim
FinalDeSemana,Centro,Noite,Assalto,Agressão,Alta,TRUE,sim
Útil,Centro,Manhã,Homicídio,ArmaBranca,Baixa,TRUE,sim
FinalDeSemana,Centro,Noite,Agressão,ArmaBranca,Baixa,FALSE,sim
Útil,Leste,Noite,Roubo,Agressão,Alta,FALSE,sim
Útil,Centro,Tarde,TráficoDeDrogas,ArmaDeFogo,Alta,TRUE,sim
Útil,Norte,Noite,Estupro,ArmaDeFogo,Alta,FALSE,sim
FinalDeSemana,Leste,Manhã,Agressão,Agressão,Baixa,FALSE,não
FinalDeSemana,Centro,Tarde,Homicídio,ArmaBranca,Média,TRUE,sim
Útil,Centro,Manhã,Estupro,ArmaBranca,Alta,FALSE,não
Útil,Centro,Madrugada,Estupro,Agressão,Alta,TRUE,não
Útil,Centro,Madrugada,Estupro,Agressão,Baixa,TRUE,sim
FinalDeSemana,Leste,Manhã,Homicídio,Agressão,Baixa,TRUE,sim
FinalDeSemana,Sul,Madrugada,Assalto,ArmaDeFogo,Média,FALSE,sim
Útil,Centro,Noite,Roubo,ArmaBranca,Alta,FALSE,sim
FinalDeSemana,Leste,Madrugada,Estupro,ArmaBranca,Alta,FALSE,sim
FinalDeSemana,Centro,Noite,Roubo,Agressão,Baixa,TRUE,sim
Útil,Leste,Manhã,TráficoDeDrogas,Agressão,Média,FALSE,não
Útil,Centro,Madrugada,Estupro,ArmaBranca,Alta,TRUE,não
Útil,Norte,Tarde,Agressão,ArmaBranca,Média,TRUE,sim
Útil,Oeste,Manhã,Estupro,Agressão,Alta,TRUE,não
FinalDeSemana,Centro,Manhã,Homicídio,ArmaDeFogo,Baixa,TRUE,sim
Útil,Sul,Tarde,Roubo,ArmaBranca,Baixa,TRUE,não
Útil,Leste,Noite,Estupro,ArmaDeFogo,Média,FALSE,sim
FinalDeSemana,Norte,Noite,Roubo,Agressão,Média,FALSE,sim
Útil,Oeste,Manhã,Homicídio,ArmaDeFogo,Baixa,FALSE,sim
FinalDeSemana,Norte,Tarde,TráficoDeDrogas,ArmaBranca,Média,FALSE,sim
Útil,Norte,Tarde,Agressão,Agressão,Baixa,FALSE,sim
Útil,Leste,Noite,Estupro,ArmaBranca,Baixa,FALSE,sim
Útil,Oeste,Manhã,TráficoDeDrogas,ArmaBranca,Média,TRUE,não
FinalDeSemana,Sul,Tarde,TráficoDeDrogas,Agressão,Baixa,TRUE,não
FinalDeSemana,Centro,Tarde,Agressão,Agressão,Baixa,TRUE,não
Útil,Norte,Madrugada,Estupro,ArmaDeFogo,Média,TRUE,sim
FinalDeSemana,Sul,Madrugada,Homicídio,ArmaDeFogo,Média,TRUE,sim
FinalDeSemana,Leste,Noite,Estupro,ArmaDeFogo,Baixa,FALSE,não
Útil,Oeste,Madrugada,Roubo,ArmaBranca,Média,FALSE,sim
FinalDeSemana,Norte,Tarde,Roubo,Agressão,Alta,TRUE,sim
FinalDeSemana,Centro,Noite,Estupro,ArmaBranca,Média,FALSE,não
FinalDeSemana,Oeste,Tarde,Estupro,ArmaDeFogo,Média,FALSE,sim
Útil,Centro,Tarde,TráficoDeDrogas,ArmaBranca,Baixa,FALSE,não
FinalDeSemana,Leste,Tarde,Roubo,ArmaBranca,Média,FALSE,sim
FinalDeSemana,Sul,Manhã,TráficoDeDrogas,ArmaDeFogo,Alta,TRUE,sim
FinalDeSemana,Norte,Noite,Homicídio,Agressão,Alta,TRUE,não
FinalDeSemana,Leste,Tarde,Agressão,ArmaBranca,Média,FALSE,sim
FinalDeSemana,Sul,Manhã,TráficoDeDrogas,ArmaBranca,Baixa,FALSE,sim
Útil,Norte,Manhã,Estupro,Agressão,Baixa,FALSE,não
FinalDeSemana,Sul,Manhã,Assalto,ArmaBranca,Baixa,TRUE,sim
Útil,Sul,Noite,Assalto,ArmaDeFogo,Baixa,TRUE,sim
FinalDeSemana,Sul,Noite,Agressão,ArmaBranca,Média,FALSE,não
FinalDeSemana,Centro,Madrugada,Homicídio,ArmaBranca,Baixa,FALSE,sim
Útil,Leste,Madrugada,Roubo,ArmaDeFogo,Alta,FALSE,sim
FinalDeSemana,Centro,Madrugada,Estupro,ArmaBranca,Baixa,TRUE,sim
Útil,Centro,Tarde,Agressão,ArmaDeFogo,Baixa,FALSE,sim
Útil,Norte,Noite,Homicídio,ArmaBranca,Alta,FALSE,não
FinalDeSemana,Norte,Madrugada,Assalto,Agressão,Média,TRUE,não
Útil,Norte,Madrugada,Roubo,ArmaDeFogo,Alta,TRUE,sim
FinalDeSemana,Centro,Noite,Roubo,ArmaDeFogo,Alta,FALSE,sim
FinalDeSemana,Centro,Noite,Assalto,Agressão,Baixa,FALSE,não
FinalDeSemana,Sul,Noite,Estupro,Agressão,Baixa,FALSE,não
Útil,Leste,Tarde,Agressão,ArmaDeFogo,Baixa,FALSE,não
Útil,Norte,Madrugada,Assalto,Agressão,Alta,TRUE,não
FinalDeSemana,Oeste,Tarde,Agressão,ArmaDeFogo,Média,TRUE,sim
Útil,Oeste,Noite,Homicídio,ArmaBranca,Média,FALSE,não
FinalDeSemana,Leste,Madrugada,Homicídio,Agressão,Média,TRUE,não
FinalDeSemana,Centro,Manhã,Homicídio,ArmaDeFogo,Alta,FALSE,não
Útil,Oeste,Noite,Roubo,Agressão,Baixa,TRUE,não
FinalDeSemana,Leste,Madrugada,Estupro,Agressão,Média,TRUE,sim
Útil,Sul,Noite,Roubo,ArmaDeFogo,Baixa,TRUE,sim
Útil,Sul,Noite,Homicídio,ArmaBranca,Média,FALSE,sim
Útil,Oeste,Tarde,Estupro,ArmaBranca,Baixa,TRUE,sim
Útil,Centro,Tarde,TráficoDeDrogas,Agressão,Baixa,TRUE,não
Útil,Sul,Tarde,Estupro,ArmaBranca,Baixa,FALSE,não
Útil,Norte,Manhã,Assalto,Agressão,Alta,TRUE,não
Útil,Leste,Manhã,Estupro,ArmaDeFogo,Média,FALSE,não
FinalDeSemana,Norte,Manhã,Homicídio,Agressão,Média,TRUE,não
FinalDeSemana,Oeste,Tarde,Homicídio,ArmaBranca,Baixa,FALSE,não
Útil,Centro,Noite,Estupro,ArmaDeFogo,Alta,TRUE,não
FinalDeSemana,Oeste,Manhã,Roubo,ArmaDeFogo,Média,TRUE,sim
Útil,Sul,Tarde,Agressão,Agressão,Baixa,TRUE,sim
Útil,Leste,Tarde,Estupro,Agressão,Baixa,FALSE,sim
FinalDeSemana,Oeste,Noite,Homicídio,ArmaDeFogo,Baixa,FALSE,sim
Útil,Norte,Manhã,Agressão,ArmaBranca,Baixa,FALSE,não
Útil,Leste,Tarde,Agressão,ArmaDeFogo,Alta,TRUE,não
Útil,Sul,Madrugada,Assalto,ArmaDeFogo,Baixa,TRUE,não
Útil,Oeste,Noite,Homicídio,ArmaDeFogo,Baixa,TRUE,não
Útil,Leste,Tarde,Assalto,Agressão,Alta,TRUE,não
Útil,Norte,Noite,TráficoDeDrogas,Agressão,Baixa,FALSE,sim
FinalDeSemana,Oeste,Manhã,Roubo,ArmaBranca,Baixa,FALSE,sim
FinalDeSemana,Sul,Madrugada,Agressão,ArmaBranca,Alta,FALSE,não
FinalDeSemana,Centro,Madrugada,Roubo,ArmaBranca,Baixa,FALSE,não
FinalDeSemana,Norte,Tarde,Estupro,ArmaBranca,Alta,TRUE,não
FinalDeSemana,Oeste,Madrugada,Roubo,Agressão,Média,TRUE,não
FinalDeSemana,Leste,Madrugada,Agressão,ArmaBranca,Média,FALSE,não
Útil,Oeste,Madrugada,Agressão,Agressão,Baixa,TRUE,sim
FinalDeSemana,Centro,Noite,Assalto,Agressão,Média,FALSE,não
Útil,Sul,Madrugada,Roubo,ArmaDeFogo,Média,FALSE,não
Útil,Centro,Tarde,Agressão,Agressão,Média,FALSE,não
FinalDeSemana,Oeste,Tarde,Estupro,Agressão,Média,FALSE,não
Útil,Oeste,Tarde,TráficoDeDrogas,Agressão,Baixa,TRUE,sim
Útil,Sul,Manhã,Homicídio,ArmaBranca,Alta,TRUE,não
FinalDeSemana,Sul,Tarde,Roubo,Agressão,Alta,FALSE,sim
Útil,Sul,Manhã,Estupro,Agressão,Alta,TRUE,sim
FinalDeSemana,Sul,Noite,Assalto,Agressão,Média,TRUE,não
Útil,Sul,Manhã,Roubo,ArmaBranca,Baixa,TRUE,não
FinalDeSemana,Centro,Noite,Agressão,ArmaDeFogo,Média,TRUE,não
FinalDeSemana,Centro,Tarde,Estupro,Agressão,Alta,TRUE,não
FinalDeSemana,Centro,Tarde,Agressão,ArmaDeFogo,Baixa,TRUE,não
FinalDeSemana,Centro,Madrugada,TráficoDeDrogas,ArmaBranca,Baixa,FALSE,sim
Útil,Leste,Tarde,Assalto,Agressão,Alta,FALSE,sim
FinalDeSemana,Norte,Noite,TráficoDeDrogas,ArmaDeFogo,Baixa,FALSE,não
Útil,Centro,Madrugada,Homicídio,ArmaDeFogo,Alta,FALSE,sim
FinalDeSemana,Leste,Tarde,TráficoDeDrogas,ArmaBranca,Média,FALSE,não
FinalDeSemana,Centro,Tarde,TráficoDeDrogas,ArmaBranca,Alta,FALSE,não
FinalDeSemana,Norte,Noite,Assalto,Agressão,Média,TRUE,não
FinalDeSemana,Centro,Noite,Homicídio,ArmaDeFogo,Baixa,FALSE,sim
FinalDeSemana,Norte,Tarde,Roubo,ArmaBranca,Baixa,TRUE,não
FinalDeSemana,Oeste,Madrugada,TráficoDeDrogas,Agressão,Média,FALSE,sim
FinalDeSemana,Leste,Tarde,Estupro,Agressão,Alta,FALSE,sim
Útil,Oeste,Noite,Estupro,ArmaDeFogo,Alta,TRUE,sim
Útil,Oeste,Manhã,Assalto,ArmaDeFogo,Média,FALSE,não
FinalDeSemana,Norte,Madrugada,Homicídio,ArmaBranca,Média,TRUE,não
Útil,Norte,Tarde,Roubo,ArmaDeFogo,Média,TRUE,sim
FinalDeSemana,Oeste,Madrugada,TráficoDeDrogas,Agressão,Alta,TRUE,sim
FinalDeSemana,Leste,Noite,Estupro,ArmaBranca,Alta,TRUE,não
FinalDeSemana,Leste,Madrugada,Assalto,ArmaDeFogo,Média,TRUE,sim
Útil,Centro,Madrugada,Roubo,ArmaBranca,Alta,TRUE,não
FinalDeSemana,Norte,Tarde,Homicídio,ArmaDeFogo,Baixa,FALSE,não
Útil,Sul,Madrugada,Estupro,ArmaBranca,Média,TRUE,sim
Útil,Leste,Noite,Agressão,ArmaBranca,Média,TRUE,não
FinalDeSemana,Norte,Tarde,TráficoDeDrogas,ArmaDeFogo,Média,FALSE,não
Útil,Leste,Manhã,Estupro,ArmaBranca,Alta,TRUE,sim
FinalDeSemana,Sul,Madrugada,Roubo,Agressão,Baixa,TRUE,sim
FinalDeSemana,Leste,Madrugada,Roubo,ArmaDeFogo,Média,TRUE,sim
FinalDeSemana,Centro,Tarde,TráficoDeDrogas,ArmaDeFogo,Alta,TRUE,não
FinalDeSemana,Centro,Tarde,TráficoDeDrogas,ArmaBranca,Alta,TRUE,não
FinalDeSemana,Centro,Manhã,Roubo,ArmaBranca,Alta,TRUE,não
FinalDeSemana,Leste,Tarde,TráficoDeDrogas,ArmaDeFogo,Baixa,FALSE,sim
Útil,Oeste,Tarde,Roubo,Agressão,Alta,TRUE,não
Útil,Leste,Madrugada,Roubo,ArmaBranca,Média,TRUE,não
Útil,Centro,Manhã,Roubo,ArmaBranca,Alta,FALSE,não
FinalDeSemana,Oeste,Madrugada,Assalto,ArmaDeFogo,Média,TRUE,sim
Útil,Sul,Madrugada,Estupro,ArmaDeFogo,Média,FALSE,sim
Útil,Centro,Madrugada,Estupro,ArmaDeFogo,Baixa,TRUE,sim
Útil,Centro,Noite,Assalto,ArmaDeFogo,Baixa,TRUE,não
FinalDeSemana,Sul,Manhã,TráficoDeDrogas,ArmaBranca,Média,TRUE,sim
Útil,Leste,Madrugada,Assalto,Agressão,Média,FALSE,sim
Útil,Norte,Manhã,Roubo,ArmaBranca,Média,TRUE,não
Útil,Centro,Tarde,Assalto,Agressão,Média,FALSE,não
FinalDeSemana,Leste,Madrugada,Roubo,ArmaBranca,Média,FALSE,não
Útil,Leste,Madrugada,TráficoDeDrogas,Agressão,Média,FALSE,sim
FinalDeSemana,Oeste,Madrugada,Assalto,Agressão,Alta,TRUE,não
FinalDeSemana,Centro,Manhã,Agressão,Agressão,Alta,TRUE,não
FinalDeSemana,Sul,Tarde,TráficoDeDrogas,ArmaBranca,Alta,FALSE,sim
Útil,Norte,Noite,Homicídio,ArmaBranca,Alta,TRUE,não
Útil,Centro,Manhã,Homicídio,Agressão,Baixa,TRUE,sim
FinalDeSemana,Norte,Noite,Assalto,ArmaBranca,Alta,FALSE,sim
Útil,Leste,Noite,Agressão,ArmaBranca,Média,TRUE,não
Útil,Oeste,Noite,Agressão,Agressão,Média,FALSE,não
Útil,Centro,Madrugada,Agressão,ArmaDeFogo,Média,TRUE,sim
FinalDeSemana,Centro,Manhã,Agressão,ArmaDeFogo,Média,TRUE,não
FinalDeSemana,Sul,Noite,Estupro,Agressão,Baixa,TRUE,sim
Útil,Oeste,Madrugada,Estupro,ArmaDeFogo,Baixa,TRUE,não
Útil,Norte,Tarde,Homicídio,ArmaDeFogo,Média,FALSE,não
Útil,Norte,Manhã,Agressão,ArmaBranca,Média,TRUE,não
Útil,Sul,Madrugada,Roubo,ArmaBranca,Média,TRUE,não
