area,creation_date,created_as_free_user,active_date,renew_count,last_successfully_transaction,has_billed,charge_id,last_renew_attempt,user_plan,billing_count,cancelled_date,survival_days,churned
89,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-11-07,1,1,,,0
47,2015-10-01,1,2015-10-01,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
91,2015-10-09,1,2015-10-09,0,,0,"3,793",2015-11-07,1,1,,,0
82,2015-10-10,0,2015-10-10,3,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
21,2015-10-04,1,2015-10-04,0,,0,"3,793",2015-11-07,1,1,,,0
88,2015-10-03,0,2015-10-03,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
11,2015-09-30,1,2015-09-30,0,,0,"3,793",2015-11-07,1,1,,,0
41,2015-10-02,1,2015-10-02,3,2015-11-05,1,"3,793",2015-11-05,1,0,,,0
11,2015-10-08,1,2015-10-08,1,2015-10-19,1,"3,793",2015-11-07,1,1,,,0
85,2015-06-30,1,2015-06-30,10,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
21,2015-10-03,0,2015-10-03,3,2015-10-30,1,"3,793",2015-11-07,1,1,,,0
87,2015-10-08,1,2015-10-08,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
31,2015-08-08,1,2015-08-08,3,2015-09-09,1,"3,793",2015-11-07,1,1,,,0
41,2015-10-04,1,2015-10-04,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
86,2015-10-01,1,2015-10-01,0,,0,"3,793",2015-11-07,1,1,,,0
47,2015-10-02,1,2015-10-02,3,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
75,2015-07-06,1,2015-07-06,6,2015-08-31,1,"3,793",2015-11-07,1,1,,,0
74,2015-10-01,1,2015-10-01,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
41,2015-09-27,1,2015-09-27,0,,0,"3,793",2015-11-07,1,1,,,0
49,2015-09-25,1,2015-09-25,6,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
11,2015-09-25,1,2015-09-25,0,,0,"3,793",2015-11-07,1,1,,,0
87,2015-10-08,1,2015-10-08,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
82,2015-10-04,1,2015-10-04,1,2015-10-27,1,"3,793",2015-11-07,1,1,,,0
21,2015-10-11,1,2015-10-11,4,2015-11-01,1,"3,793",2015-11-01,2,0,,,0
85,2014-09-05,0,2014-09-05,84,2015-10-17,1,"3,795",2015-11-07,1,1,,,0
11,2015-10-05,1,2015-10-05,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
91,2014-09-11,0,2014-09-11,37,2015-10-11,1,"3,795",2015-11-07,1,1,,,0
88,2015-09-25,1,2015-09-25,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
12,2015-10-04,1,2015-10-04,0,,0,"3,793",2015-11-07,1,1,,,0
91,2015-09-24,0,2015-09-24,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
99,2015-10-09,1,2015-10-09,0,,0,"3,793",2015-11-07,1,1,,,0
11,2015-11-01,0,2015-11-01,0,2015-11-01,1,"3,793",2015-11-01,1,1,,,0
21,2015-10-09,0,2015-10-09,3,2015-10-31,1,"3,793",2015-11-07,1,1,,,0
33,2015-10-02,1,2015-10-02,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
11,2014-09-12,0,2014-09-12,250,2015-11-07,1,"3,795",2015-11-07,1,0,,,0
48,2015-09-24,1,2015-09-24,4,2015-11-05,1,"3,793",2015-11-05,1,0,,,0
11,2015-09-27,1,2015-09-27,5,2015-10-31,1,"3,793",2015-11-07,1,1,,,0
41,2015-10-08,0,2015-10-08,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
38,2014-08-18,0,2014-08-18,140,2015-11-07,1,"3,795",2015-11-07,1,0,,,0
37,2015-09-27,0,2015-09-27,5,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
11,2015-09-26,1,2015-09-26,3,2015-11-04,1,"3,793",2015-11-04,1,0,,,0
17,2015-09-28,1,2015-09-28,3,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
11,2015-10-11,1,2015-10-11,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
11,2015-10-11,1,2015-10-11,4,2015-11-06,1,"3,793",2015-11-06,1,0,,,0
51,2015-10-15,1,2015-10-15,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
21,2015-09-30,0,2015-09-30,5,2015-11-04,1,"3,793",2015-11-04,1,0,,,0
22,2015-10-01,1,2015-10-01,2,2015-11-05,1,"3,793",2015-11-05,1,0,,,0
41,2015-10-03,0,2015-10-03,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
61,2015-10-06,0,2015-10-06,3,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
19,2014-09-15,0,2014-09-15,384,2015-11-06,1,"3,795",2015-11-06,1,0,,,0
11,2015-09-30,0,2015-09-30,0,2015-10-24,1,"3,793",2015-10-24,1,0,2015-10-24,24,1
11,2014-08-17,0,2014-08-17,204,2015-11-06,1,"3,795",2015-11-06,1,0,,,0
88,2015-10-07,1,2015-10-07,0,2015-10-17,1,"3,793",2015-10-17,1,0,2015-10-21,14,1
87,2015-09-27,1,2015-09-27,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
99,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-10-24,1,4,2015-10-24,18,1
82,2015-09-28,0,2015-09-28,5,2015-11-02,1,"3,793",2015-11-02,2,0,,,0
88,2015-10-07,1,2015-10-07,0,2015-10-17,1,"3,793",2015-10-17,1,0,2015-10-21,14,1
91,2015-09-26,1,2015-09-26,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
48,2015-10-12,1,2015-10-12,0,2015-10-25,1,"3,793",2015-10-25,1,0,2015-10-26,14,1
91,2015-10-14,1,2015-10-14,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
33,2015-10-04,1,2015-10-04,0,,0,"3,793",2015-10-21,1,2,2015-10-21,17,1
21,2015-09-25,1,2015-09-25,2,2015-11-05,1,"3,793",2015-11-05,1,0,,,0
84,2015-10-09,1,2015-10-09,0,,0,"3,793",2015-10-26,1,2,2015-10-26,17,1
85,2015-10-06,0,2015-10-06,4,2015-11-03,1,"3,793",2015-11-03,2,0,,,0
41,2015-10-15,0,2015-10-15,0,2015-10-22,1,"3,793",2015-10-22,1,0,2015-10-22,7,1
35,2015-10-06,1,2015-10-06,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
84,2015-10-09,1,2015-10-09,0,,0,"3,793",2015-10-26,1,2,2015-10-26,17,1
22,2015-10-05,1,2015-10-05,3,2015-11-06,1,"3,793",2015-11-06,1,0,,,0
41,2015-09-27,1,2015-09-27,0,2015-10-22,1,"3,793",2015-10-22,1,0,2015-10-22,25,1
37,2015-10-09,0,2015-10-09,4,2015-11-06,1,"3,793",2015-11-06,1,0,,,0
12,2015-10-09,1,2015-10-09,0,,0,"3,793",2015-10-26,1,2,2015-10-26,17,1
21,2015-10-03,1,2015-10-03,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
91,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-10-23,1,2,2015-10-23,17,1
91,2015-09-27,1,2015-09-27,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
81,2015-09-27,1,2015-09-27,0,,0,"3,793",2015-10-28,1,3,2015-10-28,31,1
99,2015-10-09,1,2015-10-09,3,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
11,2015-10-11,1,2015-10-11,0,2015-10-18,1,"3,793",2015-10-18,1,0,2015-10-19,8,1
97,2015-09-27,1,2015-09-27,3,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
91,2015-10-15,0,2015-10-15,0,2015-10-29,1,"3,793",2015-10-29,1,0,2015-10-29,14,1
32,2015-09-25,0,2015-09-25,6,2015-11-06,1,"3,793",2015-11-06,1,0,,,0
31,2015-10-02,1,2015-10-02,0,,0,"3,793",2015-10-19,1,3,2015-10-19,17,1
91,2015-10-09,1,2015-10-09,3,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
84,2015-09-30,1,2015-09-30,0,2015-10-28,1,"3,793",2015-10-28,1,0,2015-10-29,29,1
77,2015-09-29,1,2015-09-29,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
19,2015-10-04,1,2015-10-04,0,,0,"3,793",2015-10-19,1,4,2015-10-19,15,1
35,2015-10-04,1,2015-10-04,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
19,2015-10-09,1,2015-10-09,0,,0,"3,793",2015-10-19,1,4,2015-10-19,10,1
13,2015-09-30,0,2015-09-30,5,2015-11-04,1,"3,793",2015-11-04,1,0,,,0
31,2015-09-30,1,2015-09-30,0,,0,"3,793",2015-10-31,1,3,2015-10-31,31,1
19,2015-09-25,1,2015-09-25,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
88,2015-10-15,1,2015-10-15,0,2015-10-20,1,"3,793",2015-10-20,1,0,2015-10-20,5,1
24,2015-09-26,1,2015-09-26,2,2015-11-02,1,"3,793",2015-11-02,1,0,,,0
41,2015-10-07,1,2015-10-07,0,,0,"3,793",2015-10-31,1,4,2015-10-31,24,1
11,2015-10-06,1,2015-10-06,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
95,2015-06-27,1,2015-06-27,0,2015-09-26,1,"3,793",2015-10-20,1,2,2015-10-20,115,1
75,2015-09-26,1,2015-09-26,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
88,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-10-31,1,4,2015-10-31,25,1
74,2015-10-11,1,2015-10-11,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
82,2015-10-10,1,2015-10-10,0,,0,"3,793",2015-10-20,1,3,2015-10-20,10,1
21,2015-10-05,1,2015-10-05,4,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
11,2015-07-18,0,2015-07-18,6,2015-10-11,1,"3,793",2015-11-01,1,1,,,0
11,2015-10-15,0,2015-10-15,3,2015-11-05,1,"3,793",2015-11-05,1,0,,,0
41,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-10-06,1,1,2015-10-06,0,1
18,2015-10-03,1,2015-10-03,3,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
84,2015-07-04,1,2015-07-04,5,2015-09-01,1,"3,793",2015-11-01,1,2,,,0
21,2015-10-09,0,2015-10-09,4,2015-11-06,1,"3,793",2015-11-06,1,0,,,0
31,2015-07-04,1,2015-07-04,4,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
91,2015-10-03,1,2015-10-03,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
11,2015-10-10,1,2015-10-10,0,2015-10-12,1,"3,793",2015-10-12,1,0,2015-10-15,5,1
71,2015-10-12,0,2015-10-12,3,2015-11-02,1,"3,793",2015-11-02,2,0,,,0
88,2015-10-08,1,2015-10-08,0,,0,"3,793",2015-11-01,1,4,2015-11-01,24,1
21,2015-09-30,0,2015-09-30,5,2015-11-04,1,"3,793",2015-11-04,2,0,,,0
41,2015-09-27,1,2015-09-27,0,,0,"3,793",2015-10-07,1,3,2015-10-07,10,1
85,2015-09-28,1,2015-09-28,3,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
61,2015-06-01,0,2015-06-01,22,2015-11-02,1,"3,793",2015-11-02,2,0,,,0
16,2015-10-08,0,2015-10-08,2,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
83,2015-10-06,1,2015-10-06,0,,0,"3,793",2015-10-06,1,1,2015-10-06,0,1
61,2015-09-28,1,2015-09-28,2,2015-11-05,1,"3,793",2015-11-05,1,0,,,0
21,2015-10-15,1,2015-10-15,0,,0,"3,793",2015-11-02,1,3,2015-11-02,18,1
42,2015-10-04,0,2015-10-04,3,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
74,2015-10-10,1,2015-10-10,0,,0,"3,793",2015-10-10,1,1,2015-10-10,0,1
12,2015-10-06,0,2015-10-06,3,2015-11-06,1,"3,793",2015-11-06,1,0,,,0
83,2015-10-02,1,2015-10-02,0,,0,"3,793",2015-11-02,1,4,2015-11-02,31,1
98,2015-06-16,1,2015-06-16,5,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
11,2015-10-08,0,2015-10-08,0,2015-10-08,1,"3,793",2015-10-08,1,1,2015-10-08,0,1
88,2015-10-06,1,2015-10-06,1,2015-11-01,1,"3,793",2015-11-01,1,0,,,0
