id,product,channel,free_user,user_plan,t,c
2360,A,FF,1,1,16,0
4334,B,BB,0,0,9,0
1458,B,CC,1,0,0,1
1190,B,II,0,0,9,0
687,B,GG,1,1,22,0
644,B,CC,1,0,4,1
747,B,HH,0,0,0,1
5670,B,II,0,1,9,0
3529,B,II,0,0,9,0
3694,B,HH,0,0,5,1
5449,B,HH,1,0,15,0
1561,B,HH,1,1,3,1
2626,B,CC,0,0,4,1
3738,B,HH,1,0,0,1
13,B,BB,0,1,9,0
1009,B,HH,1,0,1,1
3979,B,GG,1,1,0,1
1242,B,HH,1,0,0,1
5124,B,CC,0,0,9,0
563,A,FF,1,1,9,0
3108,B,BB,0,0,9,0
2390,B,CC,1,0,0,1
3826,B,CC,1,0,0,1
3391,B,HH,1,1,8,0
548,A,FF,1,1,25,0
369,B,II,1,0,0,1
2885,B,CC,0,0,9,0
4929,B,GG,1,1,13,0
4019,B,GG,1,1,27,0
3559,B,II,1,1,2,0
970,B,HH,1,0,0,1
1895,B,HH,1,0,2,1
492,B,ZZ,0,1,9,0
858,B,CC,1,0,2,0
126,B,CC,0,1,5,1
1210,B,II,0,0,9,0
2728,B,HH,1,0,2,1
4777,A,FF,1,1,25,0
2018,B,HH,1,0,0,1
1638,B,CC,0,0,9,0
1488,B,GG,1,1,22,0
2335,B,CC,1,1,1,1
156,B,HH,1,1,9,0
492,B,HH,1,0,14,1
1894,B,HH,1,0,0,1
5961,B,GG,1,0,1,0
1563,B,HH,1,0,2,1
1384,B,HH,1,0,2,1
2408,A,FF,1,1,9,0
2239,B,HH,1,1,3,1
3046,B,BB,0,0,9,0
5287,B,CC,0,1,9,0
2514,A,FF,1,1,29,0
2234,B,HH,1,0,5,1
4804,A,FF,1,1,22,0
179,B,HH,1,1,8,0
19,B,CC,1,0,0,1
5611,B,II,1,1,13,0
3063,B,BB,0,0,9,0
4964,B,GG,1,1,17,0
1924,B,HH,1,0,8,0
3926,B,GG,1,0,1,1
3775,A,FF,1,1,25,0
995,B,BB,0,0,9,0
5527,B,HH,1,1,5,0
1900,B,HH,1,0,2,1
1710,B,HH,1,0,0,1
2060,B,HH,1,0,4,0
4750,A,FF,1,1,16,0
2251,B,II,0,1,9,0
654,B,CC,1,0,0,1
874,B,CC,0,1,9,0
294,A,JJ,1,1,31,0
760,B,GG,1,1,4,0
5021,B,GG,1,1,17,0
5519,B,HH,0,1,9,0
4506,B,II,0,0,9,0
3508,B,CC,0,0,0,1
3167,B,HH,1,0,0,1
5632,B,II,0,1,9,0
1405,B,CC,0,1,0,1
2309,B,CC,1,1,14,1
4903,B,GG,1,1,18,0
2565,B,GG,1,0,1,0
5461,B,HH,1,1,22,0
3890,A,DD,1,0,0,1
3954,B,GG,1,0,0,1
1995,B,HH,1,0,1,1
4364,B,HH,1,1,4,0
2425,B,CC,1,1,4,1
1667,B,CC,0,0,9,0
5521,B,HH,1,1,14,0
1703,B,CC,0,0,9,0
1176,B,CC,0,1,0,1
2877,B,CC,1,1,20,0
3806,A,FF,1,1,9,0
499,B,HH,1,1,9,1
1066,B,HH,1,0,0,1
396,B,II,0,0,9,0
2967,B,CC,1,0,0,1
593,A,FF,1,1,25,0
572,A,FF,1,1,16,0
1919,B,HH,1,0,1,1
2134,B,II,1,1,18,0
1215,B,II,0,1,9,0
3399,B,HH,1,0,0,1
381,B,CC,1,0,0,1
744,B,BB,0,0,0,1
2431,A,FF,1,1,29,0
3749,A,FF,1,1,9,0
3042,B,HH,1,0,0,1
251,A,DD,1,2,6,0
1283,B,HH,1,0,1,1
659,B,CC,1,0,14,1
4648,B,II,0,0,9,0
2662,B,GG,1,1,25,0
1562,B,GG,1,1,23,0
3303,B,HH,1,1,9,0
807,B,HH,1,0,0,1
1724,B,CC,1,0,22,0
2702,B,GG,1,1,25,0
149,B,CC,0,1,0,1
2269,B,II,1,0,5,0
4288,B,BB,0,0,9,0
2363,A,FF,1,1,31,0
948,B,CC,1,0,0,1
1790,B,CC,1,0,1,1
1166,B,II,0,1,9,0
4548,B,II,0,0,9,0
2494,A,FF,1,1,29,0
3494,B,II,0,1,9,0
5954,A,FF,1,1,9,0
3158,B,BB,0,0,9,0
4673,B,II,0,1,9,0
5545,B,II,0,0,9,0
1904,B,BB,1,0,9,0
2436,A,FF,1,1,16,0
368,B,II,1,1,4,1
1300,A,FF,1,1,9,0
171,B,CC,0,1,7,1
394,B,CC,1,0,0,1
776,B,HH,1,0,2,1
149,B,HH,1,1,9,0
4097,B,CC,1,1,2,0
1378,B,HH,1,0,0,1
2144,B,CC,1,1,4,1
4572,B,II,1,0,8,0
673,B,CC,1,0,0,1
1583,B,HH,1,0,0,1
2585,B,CC,0,1,0,1
5297,B,CC,0,0,9,0
3091,B,BB,0,0,9,0
3683,A,FF,1,1,29,0
3027,B,BB,1,0,9,0
5884,A,FF,1,1,29,0
1093,B,CC,1,0,0,1
95,B,CC,1,0,0,1
3820,B,CC,1,0,0,1
5704,B,II,0,0,9,0
590,A,FF,1,1,9,0
1806,B,CC,1,1,16,1
2246,B,II,0,0,9,0
3340,B,CC,1,0,0,1
1398,B,HH,1,0,2,1
514,B,HH,1,1,11,1
406,B,CC,1,0,0,1
2023,B,HH,1,0,0,1
3217,B,HH,0,1,9,0
360,B,II,1,0,0,1
4030,B,GG,1,1,23,0
7,B,CC,1,0,0,1
5847,A,FF,1,1,4,0
252,A,DD,1,1,5,0
2603,B,CC,1,0,0,1
1813,B,BB,0,0,9,0
2800,B,CC,0,0,9,0
1202,B,II,0,0,9,0
980,B,BB,0,0,9,0
2029,B,HH,1,1,18,0
3239,B,HH,1,0,0,1
2995,B,BB,0,0,9,0
600,A,FF,1,1,9,0
835,B,HH,1,0,1,1
868,B,CC,1,1,7,1
1953,B,HH,1,0,0,1
2620,B,GG,1,1,18,0
2413,B,CC,1,0,0,1
1144,B,CC,1,1,25,1
482,B,AA,0,0,1,1
1106,B,HH,0,1,9,0
1453,B,CC,1,0,0,1
898,B,CC,1,0,0,1
1788,B,CC,0,0,9,0
1386,B,GG,1,1,16,0
5228,B,CC,1,1,29,0
2982,B,CC,0,0,9,0
3497,B,CC,1,0,0,1
170,B,HH,0,0,9,0
2975,B,CC,0,1,3,1
4148,B,CC,0,0,9,0
2264,B,HH,1,0,0,1
4392,B,HH,1,1,8,0
1719,B,CC,1,0,31,0
1191,B,II,1,1,18,0
2097,B,CC,1,0,0,1
4138,B,CC,0,0,9,0
1899,B,BB,0,0,9,0
2217,B,HH,1,0,0,1
1807,B,CC,1,0,14,1
3919,A,JJ,1,1,0,1
885,B,CC,1,0,0,1
1801,B,CC,1,0,0,1
1002,B,HH,0,0,6,1
1513,B,HH,1,0,1,1
1842,B,BB,0,0,9,0
5072,B,GG,1,1,10,0
1836,B,BB,0,0,9,0
2189,B,II,0,0,9,0
2725,B,GG,1,1,9,0
1622,B,HH,1,0,0,1
975,B,BB,0,0,9,0
267,B,II,1,0,0,1
4298,B,BB,0,0,9,0
2703,B,HH,1,1,22,1
5753,A,FF,1,1,2,0
4434,B,HH,0,1,9,0
998,B,BB,0,0,9,0
1113,B,HH,1,1,27,0
318,B,II,1,0,0,1
1053,B,HH,1,0,1,1
2865,B,CC,0,0,9,0
2898,B,HH,1,0,2,1
4779,A,FF,1,1,31,0
908,B,CC,1,0,0,1
4871,A,FF,1,1,9,0
811,B,GG,1,1,17,0
4178,B,CC,1,1,18,0
392,B,II,0,0,9,0
1413,B,CC,1,0,0,1
2066,B,HH,1,0,28,0
124,B,HH,0,0,9,0
5932,A,FF,1,1,9,0
4153,B,CC,0,0,9,0
449,B,CC,0,0,0,1
1799,B,BB,0,0,9,0
4775,A,FF,1,1,29,0
5485,B,HH,1,1,22,0
4013,B,GG,1,1,16,0
28,B,BB,0,0,9,0
1938,B,HH,1,0,2,1
3685,A,FF,1,1,29,0
5179,B,CC,0,0,9,0
205,B,HH,1,0,8,0
76,B,CC,1,0,1,1
4560,B,II,0,1,9,0
2078,B,CC,0,1,3,1
1522,B,GG,1,1,10,0
5180,B,CC,0,0,9,0
716,B,BB,0,1,5,1
738,B,BB,0,0,0,1
3495,B,II,0,1,9,0
2637,B,CC,1,1,11,1
752,B,HH,1,0,0,1
3122,B,BB,0,0,9,0
946,B,BB,0,0,9,0
528,A,FF,1,1,30,0
641,B,GG,1,1,12,0
3786,B,CC,1,0,0,1
1936,B,HH,1,0,2,1
2050,B,HH,0,0,9,0
107,B,CC,1,0,0,1
1696,B,HH,1,0,1,1
2622,B,GG,1,1,12,0
2568,B,CC,1,0,0,1
1117,B,HH,1,0,18,0
4162,B,CC,1,0,15,0
1808,B,BB,0,0,9,0
1785,B,CC,1,1,20,0
150,B,CC,0,2,0,1
2153,B,II,0,0,9,0
3319,B,CC,1,0,0,1
311,B,II,1,0,0,1
2730,B,GG,1,1,9,0
416,B,CC,1,0,1,1
5314,B,CC,0,0,9,0
567,B,HH,1,0,2,1
5816,A,FF,1,1,4,0
75,B,BB,0,0,9,0
3668,A,FF,1,1,25,0
5469,B,HH,1,0,4,0
2601,B,CC,1,0,0,1
4294,B,BB,0,0,9,0
1356,B,HH,1,0,0,1
2210,B,II,1,1,18,0
1718,B,HH,1,0,0,1
2599,B,GG,1,1,16,0
3286,B,HH,1,1,22,0
2478,B,CC,0,0,0,1
3636,A,FF,1,1,18,1
1045,B,HH,1,0,1,1
1246,B,II,0,0,9,0
1272,A,FF,1,1,31,0
3191,B,BB,0,0,9,0
1758,B,CC,1,0,0,1
3344,B,HH,1,1,7,0
5477,B,HH,1,1,5,0
1475,B,CC,0,0,0,1
4343,B,BB,0,0,9,0
1694,B,HH,1,1,9,1
1393,B,HH,1,0,1,1
609,B,CC,1,1,1,1
2636,B,GG,1,1,10,0
1604,B,CC,0,0,9,0
98,B,CC,1,0,0,1
794,B,GG,1,1,13,0
3528,B,II,0,0,9,0
954,B,CC,1,0,0,1
418,B,II,0,0,9,0
1534,B,HH,1,0,0,1
5715,B,II,1,1,6,0
4529,B,II,1,0,10,0
1073,B,HH,1,0,0,1
2525,A,FF,1,1,25,0
34,B,BB,0,0,9,0
2399,A,FF,1,1,24,0
3787,B,CC,1,0,0,1
429,B,CC,0,0,0,1
1723,B,HH,1,0,0,1
2003,B,HH,1,0,1,1
3569,B,II,0,0,9,0
1737,B,CC,1,1,7,0
3775,B,HH,1,0,1,1
2855,B,CC,0,0,9,0
5200,B,CC,0,0,9,0
743,B,BB,0,0,0,1
147,B,HH,1,1,5,0
1434,B,GG,1,1,2,0
5102,B,GG,1,0,1,0
5639,B,II,0,1,9,0
2072,B,CC,1,0,0,1
2881,B,CC,1,1,31,0
3978,B,GG,1,0,0,1
5623,B,II,0,1,9,0
2775,B,HH,1,0,1,1
1487,B,GG,1,0,1,0
3464,B,II,0,1,9,0
2137,B,CC,1,1,2,1
1466,B,GG,1,0,22,0
99,B,BB,0,0,9,0
136,B,CC,1,0,0,1
1983,B,HH,1,1,5,1
1022,B,HH,1,0,0,1
829,B,CC,0,0,9,0
2428,B,CC,0,0,0,1
538,A,FF,1,1,25,0
3100,B,HH,1,1,4,1
625,B,GG,1,1,16,0
3643,A,FF,1,1,10,1
730,B,GG,1,1,17,0
2720,B,HH,1,0,2,1
4745,A,FF,1,1,25,0
5885,A,FF,1,1,24,0
715,B,BB,0,0,6,1
2526,B,CC,0,1,1,1
3596,A,FF,1,1,0,1
5236,B,CC,0,0,9,0
2512,A,FF,1,1,25,0
1416,B,CC,1,0,1,1
4199,B,CC,0,1,9,0
2608,B,CC,1,0,0,1
354,B,AA,0,0,9,0
5569,B,II,1,1,16,0
5130,B,CC,0,1,9,0
148,B,CC,0,1,0,1
5869,A,FF,1,1,24,0
5920,A,FF,1,1,9,0
3332,B,CC,1,0,0,1
3599,A,FF,1,1,0,1
2847,B,CC,0,0,9,0
2873,B,HH,1,0,0,1
2533,A,FF,1,1,24,0
619,B,CC,0,1,7,1
1633,B,CC,0,0,9,0
5067,B,GG,1,1,22,0
3595,A,FF,1,1,12,1
3113,B,HH,1,0,0,1
636,B,CC,1,0,0,1
3023,B,HH,1,0,0,1
3803,A,FF,1,1,16,0
5407,B,HH,0,1,9,0
1713,B,CC,0,0,9,0
951,B,CC,1,0,0,1
317,B,II,1,0,1,1
2285,B,II,0,1,9,0
804,B,GG,1,1,26,0
951,B,BB,0,0,9,0
2005,B,HH,0,0,9,0
3259,B,CC,1,0,1,1
5897,A,FF,1,1,25,0
529,B,HH,1,0,0,1
1537,B,HH,1,0,0,1
4283,B,BB,0,0,9,0
3310,B,CC,0,0,0,1
3085,B,HH,1,0,0,1
2268,B,II,0,0,9,0
1771,B,CC,0,0,9,0
4992,B,GG,1,1,23,0
4346,B,BB,0,0,9,0
3004,B,CC,1,0,0,1
2397,A,FF,1,1,16,0
3804,B,CC,1,0,0,1
1680,B,CC,0,1,9,0
1875,B,BB,0,0,9,0
2088,B,CC,1,0,0,1
1394,B,HH,1,1,2,1
1637,B,HH,1,0,1,1
2219,B,HH,1,0,0,1
2731,B,HH,1,0,1,1
1456,B,GG,1,1,16,0
397,B,CC,1,0,0,1
3112,B,BB,0,0,9,0
501,A,FF,1,1,22,0
3924,B,GG,1,1,0,1
18,B,CC,1,0,0,1
678,B,CC,1,0,0,1
671,B,CC,1,1,15,1
283,B,II,1,0,0,1
2325,B,II,0,0,9,0
1753,B,CC,1,1,25,0
1410,B,CC,1,0,2,1
4205,B,CC,0,0,9,0
2538,B,CC,0,0,0,1
539,A,FF,1,1,25,0
77,B,CC,1,0,0,1
2712,B,HH,1,1,1,1
414,B,II,0,0,9,0
1729,B,CC,1,0,0,1
4891,B,GG,1,1,27,0
2383,B,CC,1,1,21,1
4618,B,II,0,0,9,0
2185,B,HH,1,0,0,1
1680,B,HH,1,1,6,1
3935,B,GG,1,1,0,1
494,B,ZZ,0,0,9,0
1362,A,FF,1,1,16,0
905,B,CC,1,0,5,1
5665,B,II,0,0,9,0
4221,B,CC,0,0,9,0
3913,B,JJ,1,0,1,1
2457,B,CC,1,0,0,1
1945,B,HH,1,1,15,0
807,B,GG,1,1,16,0
1746,B,CC,1,0,0,1
2311,B,II,1,1,5,0
4264,B,CC,0,0,9,0
33,B,BB,0,0,9,0
2288,B,CC,1,0,0,1
2273,B,II,1,0,22,0
1421,B,CC,0,1,7,1
4632,B,II,0,0,9,0
1997,B,HH,1,0,3,0
2604,B,GG,0,1,26,0
3917,B,GG,1,1,10,0
4735,A,FF,1,1,25,0
1865,B,HH,1,1,1,1
4840,A,FF,1,1,16,0
2092,B,HH,0,0,9,0
3795,A,FF,1,1,9,0
669,B,GG,1,1,9,0
1923,B,HH,1,0,21,0
3370,B,HH,1,0,1,1
2257,B,II,0,0,9,0
2081,B,CC,1,0,0,1
2202,B,HH,1,0,0,1
2135,B,II,0,0,9,0
563,B,HH,1,0,1,1
5470,B,HH,1,0,8,0
1235,B,HH,1,1,14,1
2833,B,HH,0,1,8,1
2561,B,GG,1,1,6,0
3357,B,HH,0,1,9,0
4374,B,HH,1,1,29,0
685,B,CC,1,0,0,1
1630,B,CC,1,1,28,0
2675,B,CC,1,0,0,1
2896,B,CC,0,0,9,0
3795,B,CC,1,0,1,1
1391,B,HH,1,0,0,1
2558,B,GG,1,1,7,0
4880,A,FF,1,1,2,0
4212,B,CC,1,1,9,0
5075,B,GG,1,1,2,0
4241,B,CC,0,0,9,0
793,B,GG,1,1,16,0
1903,B,BB,0,0,9,0
3867,B,CC,1,0,1,1
2192,B,II,0,0,9,0
55,B,BB,0,0,9,0
2570,B,GG,1,1,16,0
1536,B,HH,1,0,0,1
4491,B,II,1,0,6,0
1143,B,HH,1,1,5,0
2454,B,CC,1,1,1,1
772,B,HH,1,0,3,1
2390,A,FF,1,1,24,0
3297,B,CC,0,0,0,1
2308,B,II,0,1,9,0
327,B,II,1,1,12,1
2071,B,CC,1,0,0,1
650,B,GG,0,1,9,0
3405,B,HH,0,0,9,0
1132,B,HH,1,0,9,0
59,B,CC,1,0,0,1
3871,B,GG,1,1,10,0
5292,B,CC,0,0,9,0
5879,A,FF,1,1,31,0
5708,B,II,0,0,9,0
3892,B,GG,1,1,1,0
110,B,CC,1,0,3,1
116,B,CC,1,1,28,1
2767,B,GG,1,0,4,0
4522,B,II,1,0,19,0
2680,B,GG,1,1,9,0
5701,B,II,0,1,9,0
1175,B,CC,1,0,0,1
4512,B,II,0,1,17,0
2158,B,II,0,0,9,0
3058,B,HH,1,1,7,1
1964,B,HH,1,0,15,0
1159,B,II,0,1,9,0
591,B,HH,1,0,0,1
2846,B,HH,0,0,6,1
2982,B,CC,1,0,0,1
5933,A,FF,1,1,9,0
3363,B,HH,1,1,19,0
2844,B,HH,1,0,1,1
3965,B,GG,1,1,20,1
2250,B,II,0,0,9,0
3962,B,GG,1,1,0,1
3700,A,FF,1,1,31,0
1418,B,CC,0,1,8,1
4657,B,II,0,0,9,0
509,A,FF,1,1,9,0
935,B,CC,1,0,0,1
3304,B,CC,0,0,0,1
2564,B,GG,1,0,6,0
36,B,CC,1,0,0,1
2496,B,CC,1,1,19,1
1261,A,FF,1,1,31,0
730,B,BB,0,0,0,1
1618,B,HH,1,0,14,1
333,B,II,1,0,0,1
518,B,HH,1,1,5,1
1217,B,HH,1,1,6,1
5841,A,FF,1,1,4,0
760,B,HH,0,0,0,1
2101,B,CC,1,1,2,1
5087,B,GG,0,0,9,0
3544,B,CC,0,0,0,1
1297,B,HH,1,0,0,1
1002,B,BB,0,0,9,0
2438,A,FF,1,1,1,0
1371,B,GG,1,0,17,0
1034,B,BB,0,0,9,0
1601,B,HH,1,0,0,1
517,B,HH,1,0,0,1
3132,B,HH,1,0,2,1
2428,A,FF,1,1,22,0
3424,B,HH,1,1,20,0
817,B,GG,1,1,16,0
3785,B,CC,1,0,0,1
4246,B,CC,0,0,9,0
7,B,BB,0,0,9,0
3757,A,FF,1,1,16,0
827,B,CC,1,1,22,0
3717,A,FF,1,1,24,0
4277,B,CC,1,0,14,0
3181,B,HH,1,0,2,1
631,B,CC,1,1,0,1
1944,B,HH,1,1,8,0
2142,B,CC,1,0,3,1
1070,B,HH,1,0,0,1
3092,B,HH,1,0,0,1
3904,A,DD,1,1,11,1
4495,B,II,0,1,9,0
1079,B,CC,1,0,0,1
3953,B,GG,1,1,16,0
4301,B,BB,0,1,9,0
3717,B,HH,1,1,6,1
2762,B,GG,1,1,26,0
2201,B,II,0,1,9,0
1742,B,CC,1,1,2,1
1921,B,HH,0,1,0,1
2358,B,CC,0,0,0,1
1310,A,FF,1,1,31,0
3327,B,CC,1,1,3,1
3576,B,II,1,1,5,0
1407,B,CC,0,0,0,1
608,B,CC,1,1,0,1
1920,B,HH,1,0,0,1
956,B,BB,0,1,9,0
1382,B,HH,1,1,9,1
5776,A,FF,1,1,9,0
6000,B,GG,0,0,9,0
3072,B,BB,0,0,9,0
3866,B,GG,0,1,9,0
3869,B,GG,1,0,6,0
3733,A,FF,1,1,22,0
3788,B,CC,1,0,0,1
5948,A,FF,1,1,25,0
2756,B,HH,1,0,0,1
3834,B,CC,1,0,1,1
2272,B,II,0,0,9,0
5672,B,II,1,1,4,0
1841,B,BB,0,0,9,0
2691,B,HH,1,0,0,1
2187,B,HH,1,0,0,1
1623,B,HH,1,1,7,1
2342,A,FF,1,1,29,0
357,B,II,0,0,0,1
1942,B,HH,0,0,9,0
2147,B,CC,1,0,0,1
1078,B,CC,1,0,0,1
3232,B,HH,1,0,0,1
674,B,GG,1,1,17,0
4731,A,FF,1,1,24,0
2336,B,CC,1,0,1,1
4055,B,GG,0,1,9,0
5997,B,GG,1,0,13,0
237,A,DD,1,2,4,0
2699,B,HH,1,0,0,1
965,B,HH,1,0,1,1
593,B,HH,1,0,1,1
295,B,II,1,0,22,1
3028,B,HH,1,0,0,1
4487,B,II,0,0,9,0
5216,B,CC,1,0,8,0
675,B,CC,1,0,0,1
5845,A,FF,1,1,4,0
1558,B,HH,1,0,0,1
5305,B,CC,0,0,9,0
2073,B,CC,1,1,4,1
1641,B,HH,1,0,0,1
118,B,CC,1,0,6,1
4923,B,GG,1,1,22,0
3802,B,CC,1,0,0,1
3553,B,II,0,0,9,0
2258,B,HH,1,0,0,1
3623,B,II,0,0,9,0
2115,B,CC,1,1,0,1
1415,B,GG,1,0,9,0
3881,B,GG,1,1,6,0
3512,B,CC,0,0,0,1
3161,B,BB,0,0,9,0
3523,B,CC,0,0,5,1
1925,B,HH,1,0,0,1
600,B,HH,1,0,1,1
3709,B,HH,1,1,3,1
653,B,CC,0,0,8,1
5388,B,HH,1,1,15,0
3979,B,GG,0,1,9,0
3216,B,HH,1,1,8,0
810,B,HH,1,0,0,1
1731,B,CC,1,0,0,1
762,B,GG,0,1,9,0
2486,A,FF,1,1,30,0
4864,A,FF,1,1,16,0
406,B,II,0,0,9,0
3859,B,CC,1,0,0,1
606,B,CC,0,1,5,1
2109,B,HH,1,1,9,0
2512,B,CC,0,0,5,1
